timestamp,open,high,low,close,volume,ema_fast,ema_slow,signal
2022-07-01 04:45:00+00:00,19608.18,19624.36,19366.89,19409.23,1955.819500,19802.316167780195,19925.24336500812,SELL
2022-07-01 05:00:00+00:00,19409.23,19439.93,19337.21,19425.14,1068.011760,19733.73868272925,19877.61447310258,HOLD
2022-07-01 05:15:00+00:00,19425.13,19579.43,19315.91,19468.32,1654.219050,19685.480740414838,19838.63404709281,HOLD
2022-07-01 05:30:00+00:00,19468.33,19489.48,19377.12,19473.75,930.513790,19646.984242157596,19803.883185464925,HOLD
2022-07-01 05:45:00+00:00,19473.75,19529.63,19442.56,19465.37,800.321220,19613.96347085621,19771.643834468265,HOLD
2022-07-01 06:00:00+00:00,19465.37,19492.00,19406.85,19429.38,876.202790,19580.402839791444,19739.04727880462,HOLD
2022-07-01 06:15:00+00:00,19429.37,19440.00,19361.55,19432.86,921.116050,19553.57686892027,19709.886585585133,HOLD
2022-07-01 06:30:00+00:00,19432.85,19456.64,19398.07,19448.10,639.274430,19534.39925638931,19684.95452981512,HOLD
2022-07-01 06:45:00+00:00,19448.10,19479.99,19368.20,19401.67,855.557150,19510.266664318526,19657.97505078511,HOLD
2022-07-01 07:00:00+00:00,19401.66,19426.55,19337.00,19402.67,901.518070,19490.70363444243,19633.66028404367,HOLD
2022-07-01 07:15:00+00:00,19402.68,19567.62,19390.09,19508.73,1242.314710,19493.981155452897,19621.7621617538,HOLD
2022-07-01 07:30:00+00:00,19508.73,19669.42,19504.97,19545.71,1557.959360,19503.386399916006,19614.51909872963,HOLD
2022-07-01 07:45:00+00:00,19545.72,19640.00,19540.00,19579.11,948.901420,19517.154327204003,19611.146803612522,HOLD
2022-07-01 08:00:00+00:00,19579.11,19821.28,19476.48,19743.02,1429.518160,19558.22081316691,19623.706155649426,HOLD
2022-07-01 08:15:00+00:00,19743.02,19765.85,19642.04,19659.17,1518.718480,19576.575210772924,19627.083664635196,HOLD
2022-07-01 08:30:00+00:00,19659.17,19690.74,19575.14,19575.15,851.796800,19576.31608154148,19622.137601336606,HOLD
2022-07-01 08:45:00+00:00,19575.15,19643.63,19502.35,19524.57,765.651530,19566.907703079392,19612.84544882836,HOLD
2022-07-01 09:00:00+00:00,19524.56,19559.96,19429.17,19475.58,922.965400,19550.302666155865,19599.772548939945,HOLD
