timestamp,open_time_ms,open,high,low,close,volume,number_of_trades
1688169600000000000,1688169600000,30471.99,30516.7,30420.0,30447.72,376.1316,10413
1688170500000000000,1688170500000,30447.71,30533.56,30447.71,30516.01,263.01725,8568
1688171400000000000,1688171400000,30516.0,30534.74,30491.14,30516.0,371.36861,8100
1688172300000000000,1688172300000,30516.0,30516.0,30462.0,30469.83,234.44647,7350
1688173200000000000,1688173200000,30469.82,30484.31,30410.25,30476.84,305.21027,9139
1688174100000000000,1688174100000,30476.85,30476.85,30380.51,30422.0,498.39081,14445
1688175000000000000,1688175000000,30422.0,30467.01,30405.56,30453.91,199.37436,7444
1688175900000000000,1688175900000,30453.91,30457.95,30432.42,30447.78,179.26769,5812
1688176800000000000,1688176800000,30447.77,30475.02,30390.33,30458.24,197.67802,6962
1688177700000000000,1688177700000,30458.25,30501.46,30455.0,30498.65,177.07869,5716
1688178600000000000,1688178600000,30498.65,30530.64,30471.87,30474.36,181.5168,6086
1688179500000000000,1688179500000,30474.35,30474.36,30411.99,30420.85,315.28797,6357
1688180400000000000,1688180400000,30420.84,30444.0,30412.39,30413.8,166.63494,4426
1688181300000000000,1688181300000,30413.8,30440.0,30400.03,30405.42,198.50657,4141
1688182200000000000,1688182200000,30405.42,30420.0,30382.14,30382.16,230.11565,5021
1688183100000000000,1688183100000,30382.16,30399.21,30375.85,30398.01,114.01506,4227
1688184000000000000,1688184000000,30398.02,30417.62,30388.94,30390.83,240.5276,4846
1688184900000000000,1688184900000,30390.82,30392.29,30320.57,30357.08,465.06861,11695
1688185800000000000,1688185800000,30357.08,30403.8,30326.8,30384.0,454.97764,7751
1688186700000000000,1688186700000,30383.99,30401.63,30362.11,30389.15,136.33538,4601
1688187600000000000,1688187600000,30389.16,30405.0,30389.15,30404.99,150.83059,3928
1688188500000000000,1688188500000,30404.99,30430.0,30400.0,30400.01,163.69864,4800
1688189400000000000,1688189400000,30400.01,30415.23,30397.46,30409.81,113.07135,3609
1688190300000000000,1688190300000,30409.81,30429.36,30406.0,30429.36,124.56146,3942
1688191200000000000,1688191200000,30429.36,30443.83,30426.38,30438.52,197.71633,4735
1688192100000000000,1688192100000,30438.53,30438.53,30419.75,30428.0,174.18952,3988
1688193000000000000,1688193000000,30428.0,30428.0,30402.08,30417.61,148.59437,4187
1688193900000000000,1688193900000,30417.61,30472.69,30412.01,30450.26,272.99376,7060
1688194800000000000,1688194800000,30450.27,30454.68,30420.0,30423.99,154.19976,5989
1688195700000000000,1688195700000,30423.99,30433.15,30408.04,30427.99,174.1272,5614
1688196600000000000,1688196600000,30427.99,30449.27,30424.68,30434.77,189.97844,5587
1688197500000000000,1688197500000,30434.77,30460.0,30428.57,30459.88,124.64769,5616
1688198400000000000,1688198400000,30459.87,30472.22,30434.5,30449.68,207.33956,5670
1688199300000000000,1688199300000,30449.68,30452.0,30431.41,30431.42,95.17131,4685
1688200200000000000,1688200200000,30431.42,30454.08,30420.77,30452.02,145.0399,6125
1688201100000000000,1688201100000,30452.02,30463.7,30422.44,30441.7,187.4875,6008
1688202000000000000,1688202000000,30441.71,30454.64,30434.21,30439.8,238.51566,5790
1688202900000000000,1688202900000,30439.81,30463.04,30439.8,30463.03,118.4314,4418
1688203800000000000,1688203800000,30463.04,30465.87,30455.36,30455.99,84.56477,4100
1688204700000000000,1688204700000,30455.99,30456.0,30441.22,30441.23,90.9476,4156
1688205600000000000,1688205600000,30441.23,30459.5,30441.22,30452.0,98.37136,4585
1688206500000000000,1688206500000,30451.99,30487.5,30429.84,30487.28,182.97786,6652
1688207400000000000,1688207400000,30487.27,30491.88,30454.57,30486.12,242.43635,6855
1688208300000000000,1688208300000,30486.12,30486.12,30442.0,30469.98,181.90607,6567
1688209200000000000,1688209200000,30469.98,30499.19,30469.97,30496.01,166.80495,6781
1688210100000000000,1688210100000,30496.01,30500.0,30482.0,30483.18,122.14751,5738
1688211000000000000,1688211000000,30483.18,30546.5,30483.18,30545.25,228.3348,6763
1688211900000000000,1688211900000,30545.25,30600.0,30514.72,30523.02,385.2677,9461
1688212800000000000,1688212800000,30523.02,30580.28,30503.94,30566.29,346.60617,7399
1688213700000000000,1688213700000,30566.29,30635.51,30566.28,30580.0,288.28899,9644
1688214600000000000,1688214600000,30579.99,30614.49,30558.01,30599.71,200.43359,6907
1688215500000000000,1688215500000,30599.7,30610.88,30557.68,30564.01,237.42716,8046
1688216400000000000,1688216400000,30564.0,30639.01,30562.59,30568.95,285.33245,9325
1688217300000000000,1688217300000,30568.94,30599.86,30543.29,30543.29,279.98727,8688
1688218200000000000,1688218200000,30543.3,30591.44,30539.59,30584.32,243.91233,6873
1688219100000000000,1688219100000,30584.33,30584.33,30548.83,30565.26,163.7199,6266
1688220000000000000,1688220000000,30565.26,30576.18,30531.22,30557.57,213.40772,8522
1688220900000000000,1688220900000,30557.58,30584.3,30552.0,30567.13,153.82123,6220
1688221800000000000,1688221800000,30567.13,30579.38,30550.67,30565.99,154.59097,6404
1688222700000000000,1688222700000,30566.0,30617.45,30564.68,30608.52,306.22526,7574
1688223600000000000,1688223600000,30608.52,30661.6,30566.08,30566.22,436.00895,10326
1688224500000000000,1688224500000,30566.21,30587.8,30541.17,30574.88,238.07567,6994
1688225400000000000,1688225400000,30574.87,30596.46,30574.87,30590.0,142.54726,5743
1688226300000000000,1688226300000,30590.0,30596.89,30564.55,30572.58,110.90179,5334
1688227200000000000,1688227200000,30572.59,30600.0,30552.18,30552.66,261.14877,8281
1688228100000000000,1688228100000,30552.67,30573.24,30545.01,30559.99,144.25528,6944
1688229000000000000,1688229000000,30559.98,30575.19,30543.99,30574.02,166.44369,6431
1688229900000000000,1688229900000,30574.02,30579.96,30556.0,30572.0,135.72218,5221
